Datetime,Close,High,Low,Open,Volume,Returns,Log_Returns,SMA_10,SMA_20,SMA_50,EMA_12,EMA_26,MACD,MACD_Signal,MACD_Histogram,RSI,BB_Middle,BB_Upper,BB_Lower,BB_Width,BB_Position,Volatility_10,Volatility_20,Price_Change,Price_Change_Pct,HL_Spread,HL_Spread_Pct,Hour,DayOfWeek,Month,Quarter,Is_Trading_Hours,Is_Market_Open,Is_Premarket,Is_Aftermarket,Is_Extended_Hours
2024-06-24 20:00:00+00:00,182.4,182.85,182.2,182.66,0,-0.0014114173468434688,-0.0014124143345278508,183.77926928710937,183.2100647277832,,183.3411993208915,183.05574842975903,0.2854508911324558,0.4018006701455667,-0.11634977901311089,47.514500323938485,183.2100647277832,184.99859095091773,181.42153850464865,3.5770524462690787,0.2735384817664344,0.005510957570952557,0.004134012538615097,-0.2599999999999909,-0.14234096134894936,0.6500000000000057,0.3563596491228101,20,0,6,2,0,0,0,1,1
2024-06-24 21:00:00+00:00,182.475,191.2316,176.1843,182.42,0,0.0004111842105263275,0.00041109969746499836,183.69176928710937,183.23363467407228,,183.20787657094226,183.01144490200855,0.19643166893371244,0.36072543864027123,-0.1642937697065588,47.846108067320905,183.23363467407228,184.96678383100186,181.5004855171427,3.46629831385917,0.2811398196632232,0.005272305800069501,0.004086231180882237,0.05500000000000682,0.03015020282864095,15.047299999999979,8.246225510343871,21,0,6,2,0,0,0,0,0
2024-06-24 22:00:00+00:00,182.425,182.73,178.9904,182.48,0,-0.00027401013837502486,-0.00027404768601210316,183.51226928710938,183.25763430786134,,183.087387132928,182.96680558911424,0.1205815438137563,0.31269532079069323,-0.19211377697693693,46.84430146567694,183.25763430786134,184.92779902975136,181.58746958597132,3.3403294437800355,0.2507328777370271,0.004950205234152539,0.004085961737452726,-0.0549999999999784,-0.030140289346765894,3.739599999999996,2.0499383308208827,22,0,6,2,0,0,0,0,0
2024-06-24 23:00:00+00:00,182.23,182.5,182.15,182.44,0,-0.0010689324379883347,-0.001069504153720133,183.33826916503907,183.2171346435547,,182.95543797168753,182.91083547195143,0.044602499736100754,0.25907556081917,-0.21447306108306924,47.86986587418396,183.2171346435547,184.9477109784543,181.48655830865508,3.461152669799219,0.2147959833820447,0.0049485247867635945,0.0038498035598049716,-0.21000000000000796,-0.11510633632975661,0.3499999999999943,0.19206497283652216,23,0,6,2,0,0,0,0,0
2024-06-25 08:00:00+00:00,183.37,183.37,182.82,183.04,0,0.006255830543818286,0.006236344063109422,183.19626983642578,183.2471346435547,,183.01923452047401,182.9456493150319,0.07358520544212865,0.22197682788024936,-0.1483916224381207,54.52147442352349,183.2471346435547,184.96583593229315,181.52843335481623,3.4374025774769166,0.5357436621623474,0.005193087479481153,0.004096784684738074,0.3300000000000125,0.1802884615384684,0.5500000000000114,0.29994001199760667,8,1,6,2,0,0,1,0,1
2024-06-25 09:00:00+00:00,182.9,183.46,182.6,183.4,0,-0.002563123738888562,-0.0025664141642531414,182.95877044677735,183.2471346435547,182.65360174414062,183.00088642238046,182.94219421736167,0.05869220501878658,0.1893194372061019,-0.1306272321873153,47.538339573181375,183.2471346435547,184.96583593229315,181.52843335481623,3.4374025774769166,0.39901251432426577,0.005075309191267133,0.004139300885334162,-0.5,-0.27262813522355506,0.8600000000000136,0.4702022963368035,9,1,6,2,1,1,0,0,0
2024-06-25 10:00:00+00:00,182.8,182.9,182.39,182.9,0,-0.0005467468562055933,-0.000546896376770395,182.88927093505862,183.2456346435547,182.60320174414065,182.9699746524215,182.93144918525584,0.038525467165669625,0.1591602988415303,-0.12063483167586067,41.51749820799515,183.2456346435547,184.96592043059502,181.52534885651437,3.44057157408065,0.370476566477545,0.004146902050470693,0.004140278465918317,-0.09999999999999432,-0.05467468562055457,0.5100000000000193,0.27899343544858823,10,1,6,2,1,1,0,0,0
2024-06-25 11:00:00+00:00,183.56,184.19,182.59,182.77,0,0.0041575492341356934,0.004148930506583146,182.91128045654298,183.2811346435547,182.56280174414064,183.0607631076577,182.97887543377965,0.08188767387804319,0.1437056326799585,-0.06181795880191532,47.691479631013955,183.2811346435547,184.99633995299908,181.56592933411034,3.430410618888743,0.5812921213891388,0.004378709282880481,0.0042435738425261,0.789999999999992,0.432237238058758,1.5999999999999943,0.8716495968620585,11,1,6,2,1,1,0,0,0
2024-06-25 12:00:00+00:00,184.39,184.48,182.3274,183.56,0,0.004521682283721962,0.004511490190440554,182.92078063964843,183.35213464355468,182.5378017441406,183.2652903033918,183.08520282135336,0.18008748203843084,0.15098205572417392,0.029105426314256916,47.7503648475425,183.35213464355468,185.12954385015723,181.57472543695212,3.554818413205112,0.7919601610563123,0.00429463608222845,0.004351974084919803,0.8299999999999841,0.4521682283721857,2.1525999999999783,1.1674168881175653,12,1,6,2,1,1,0,0,0
2024-06-25 13:00:00+00:00,186.11000061035156,187.00999450683594,182.00999450683594,184.1999969482422,19831866,0.0093280579768511,0.009284820318319563,183.26600006103516,183.52813467407228,182.56380175634763,183.70299094115563,183.3128292184299,0.3901617227257361,0.19881826877530115,0.19134345395043498,54.123416120841306,183.52813467407228,185.65126923993995,181.4050001082046,4.246269131735346,1.1080316287498575,0.003926327450918368,0.004740782853244006,1.910003662109375,1.0369184005177052,5.0,2.686583194671107,13,1,6,2,1,1,0,0,0
